code	city	country	lat	lon
F-FoCi	Forest City	United States	28.661479	-81.444877
F-Lul	Lulea	Sweden	65.5841501	22.1546497
F-Alt	Altoona	United States	41.646112	-93.475804
F-Pri	Prineville	United States	44.298833	-120.859395
F-FoWo	Fort Worth	United States	32.725409	-97.3208466
F-Clo	Clonee	Ireland	53.410562	-6.4426
F-LoLu	Los Lunas	United States	34.812554	-106.780263
F-Ash	Ashburn	United States	39.031176	-77.470283
T-Atl	Atlanta	United States	33.7489954	-84.3879852
T-Sac	Sacramento	United States	38.5815719	-121.4944
T-Sal	Salt Lake City	United States	40.776928	-111.930991
T-SaCl	Santa Clara	United States	37.364626	-121.967927
I-FoC	Forest City	United States	28.661479	-81.444877
I-Lul	Lulea	Sweden	65.5841501	22.1546497
I-Alt	Altoona	United States	41.646112	-93.475804
I-Pri	Prineville	United States	44.298833	-120.859395
I-FoWo	Fort Worth	United States	32.725409	-97.3208466
I-Clo	Clonee	Ireland	53.410562	-6.4426
I-LoLu	Los Lunas	United States	34.812554	-106.780263
I-Ash	Ashburn	United States	39.031176	-77.470283
W-HoKo	Hong Kong	China	22.396428	114.109497
W-SiVa	Silicon Valley	United States	37.387474	-122.057543
W-Tor	Toronto	Canada	43.7001138	-79.4163055
W-Sha	Shanghai	China	31.2222222	121.4580536
W-Sin		Singapore	1.352083	103.819836
W-Mum	Mumbai	India	19.01441	72.8479385
W-Fran	Frankfurt	Germany	50.1166667	8.6833334
W-Seo	Seoul	South Korea	37.5663889	126.9997253
W-Mos	Moscow	Russia	55.7522222	37.6155548
W-Tok	Tokyo	Japan	35.6895266	139.6916809
W-Was	Washington	United States	38.8951118	-77.0363693
W-Dal	Dallas	United States	32.7830556	-96.8066635
W-Syd	Sydney	Australia	-33.86785	151.2073212
W-Lon	London	United Kingdom	51.5084153	-0.1255327
W-Ams	Amsterdam	Netherlands	52.373084	4.8999023
W-Ch1	Mainland China	China	39.1422222	117.1766663
W-Ch2	Mainland China	China	29.4602778	119.8861084
W-Ch3	Mainland China	China	41.7922222	123.4327774
W-Ch4	Mainland China	China	32.6475	110.7780533
W-Ch5	Mainland China	China	45.75	126.6500015
W-Ch6	Mainland China	China	36.0563889	103.7922211
W-Ch7	Mainland China	China	23.1166667	113.25
W-Ch8	Mainland China	China	32.0616667	118.7777786
W-Ch9	Mainland China	China	37.8694444	112.5602798
W-Ch10	Mainland China	China	22.9333333	112.0333328
W-Ch11	Mainland China	China	43.88	125.3227768
W-Ch12	Mainland China	China	28.2	112.9666672
W-Ch13	Mainland China	China	36.6683333	116.9972229
Bank of China				
Taobao				
Alipay				
Express				
Royal Bank of Scotland				
